agglosID,x,y,CentreLon,CentreLat,agglosName,ISO3
7741,31.193,30.412,31.1932659283594,30.4133882227343,Sandanhur,EGY
7742,31.13,31.016,31.1341359070312,31.0151032117188,Sandasis,EGY
7744,31.205,30.251,31.2073024087501,30.2465119410155,Sandyun,EGY
7748,-17.228,14.778,-17.226037055039,14.7677339019531,Sangalkam,SEN
7749,-13.811,11.109,-13.8079435345312,11.0988798562109,Sangaredi,GIN
7751,30.807,27.711,30.8073484586327,27.7103814145703,Sangirg,EGY
7753,8.784,7.301,8.7820011607422,7.30033867664061,Sango,NGA
7756,30.564,31.085,30.5486694990234,31.070240138086,Sanhur,EGY
7758,30.747,29.433,30.7477131558595,29.4392101907421,Sanhur al-Bahriyya,EGY
7759,30.733,31.115,30.7328135398829,31.1198732920704,Sanhur al-Madina,EGY
7760,31.335,30.466,31.3342414297656,30.4670981107813,Sanhut,EGY
7761,31.81,30.826,31.811600346875,30.8279212264063,Sanitat al-Rifaiyyin,EGY
7762,37.296,12.991,37.2918372949219,12.9872508110547,Sanja,ETH
7763,-3.483,6.86,-3.48461104683594,6.86233714089845,Sankadiokro,CIV
7765,-2.502,6.501,-2.4998051698828,6.50057120164062,Sankore,GHA
7766,9.253,6.614,9.25083583855465,6.6061409876172,Sankwala,NGA
7767,-8.717,7.363,-8.71319733730465,7.36183088335937,Sanniquellie,LBR
7768,-6.67,4.756,-6.66833614339842,4.77399636687504,San-Pedro,CIV
7773,6.74,0.256,6.74060815679688,0.258036480820312,Santana,STP
7776,30.502,30.988,30.5029654323828,30.9963570136328,Santis,EGY
7777,12.368,-6.179,12.3676265803516,-6.13667059339846,Santo Antonio do Zaire,AGO
7779,-16.763,13.274,-16.7593184016017,13.2673077196875,Sanyang Sare Biji (Bi,GMB
7780,15.999,-7.316,15.9987800962891,-7.31527058070313,Sanza Pombo,AGO
7781,6.729,0.333,6.73318332351558,0.331973459726561,Sao Tome,STP
7782,5.704,5.875,5.6759679475,5.8979360239453396,Sapele,NGA
7784,-1.765,11.552,-1.76074150359375,11.5547801810156,Sapouy,BFA
7790,30.816,27.865,30.813158740625,27.8697732180858,Saqyat Musa,EGY
7791,32.318,30.476,32.3165969443751,30.4773035921484,Sarabyum,EGY
7795,7.135,10.017,7.13326089210935,10.0186730651953,Sarkin Pawa,NGA
7797,30.965,29.401,30.9645695649609,29.3999211794921,Sarsana,EGY
7798,27.851,-26.838,27.8512558144531,-26.843940172422,Sasolburg Central,ZAF
7799,13.491,-8.676,13.4496690372266,-8.69040355984377,Sassalemba,AGO
7800,-6.092,4.952,-6.08668642101563,4.95490052917969,Sassandra,CIV
7801,28.056,-25.78,28.0791703910937,-25.7706124484376,Saulsville,ZAF
7802,20.376,-9.674,20.3964530053515,-9.66379278320306,Saurimo,AGO
7803,1.984,7.934,1.97767804082031,7.93098504886718,Savalou,BEN
